goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkPreorderDepth/64                     	  593858	       407.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	  614289	       404.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/64                     	  603537	       406.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	  156696	      1590 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	  155584	      1582 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	  149954	      1597 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	  151861	      1560 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	  143553	      1573 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	   36441	      6501 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	   37764	      6455 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	   36634	      6336 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	   38944	      6222 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	   38072	      6251 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	  263403	       920.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	  262248	       909.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	  270026	       905.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	  243870	       954.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	  257794	      1007 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnmarshalLargeString                 	    3661	     64834 ns/op	   65907 B/op	       6 allocs/op
BenchmarkUnmarshalLargeString                 	    4099	     64376 ns/op	   65907 B/op	       6 allocs/op
BenchmarkUnmarshalLargeString                 	    3878	     65457 ns/op	   65907 B/op	       6 allocs/op
BenchmarkUnmarshalLargeString                 	    3225	     63322 ns/op	   65907 B/op	       6 allocs/op
BenchmarkUnmarshalLargeString                 	    3895	     62788 ns/op	   65907 B/op	       6 allocs/op
PASS
ok  	sonic-bench/rootbench	41.668s
