goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkPreorderDepth/256                    	    4390	     54558 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	    4369	     54979 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	    4602	     54343 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/256                    	    4218	     53282 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	     314	    779386 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	     308	    769822 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	     310	    785001 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	     309	    766966 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreorderDepth/1024                   	     313	    769203 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidStringLarge                     	   12156	     19719 ns/op	   73728 B/op	       1 allocs/op
BenchmarkValidStringLarge                     	   12151	     20150 ns/op	   73728 B/op	       1 allocs/op
BenchmarkValidStringLarge                     	   10000	     20436 ns/op	   73728 B/op	       1 allocs/op
BenchmarkValidStringLarge                     	   10000	     20106 ns/op	   73728 B/op	       1 allocs/op
BenchmarkValidStringLarge                     	   10000	     20059 ns/op	   73728 B/op	       1 allocs/op
PASS
ok  	sonic-bench/rootbench	41.509s
goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkUnmarshalLargeString 	    1944	    119243 ns/op	   65949 B/op	       8 allocs/op
BenchmarkUnmarshalLargeString 	    2000	    119168 ns/op	   65947 B/op	       8 allocs/op
BenchmarkUnmarshalLargeString 	    2190	    119602 ns/op	   65947 B/op	       8 allocs/op
BenchmarkUnmarshalLargeString 	    1981	    123524 ns/op	   65947 B/op	       8 allocs/op
BenchmarkUnmarshalLargeString 	    2049	    120443 ns/op	   65947 B/op	       8 allocs/op
PASS
ok  	sonic-bench/rootbench	1.226s
